City State,"Violent Crime Rate Per 100,000 People","Property Crime Rate Per 100,000 People"
Albuquerque NM,965.8,6073.2
Anaheim CA,363.7,2872.3
Anchorage AK,1070.9,3917.5
Arlington TX,502.1,3443.6
Atlanta GA,1119.6,5499.3
Aurora CO,460.8,2936.7
Austin TX,372.5,3771
Bakersfield CA,484.1,4161.4
Baltimore MD,1535.9,4980.4
Boston MA,706.8,2316.1
Buffalo NY,1118.6,4330.2
Chandler AZ,189.3,2083.2
Charlotte NC,677.6,3767.9
Chicago IL,903.8,2946.3
Chula Vista CA,265.8,1741.6
Cincinnati OH,925,5510
Cleveland OH,1334.3,5434.4
Colorado Springs CO,438.3,3648
Columbus OH,546.3,3934.3
Corpus Christi TX,645,3465.6
Dallas TX,694.2,3440.2
Denver CO,673.9,3529.9
Detroit MI,1759.6,4093.6
Durham NC,847.2,4115.8
El Paso TX,366.6,1914.2
Fort Wayne IN,378.9,3058.4
Fort Worth TX,525.4,3585.7
Fresno CA,551.2,4148.3
Greensboro NC,597,3568.5
Henderson NV,168.5,1893.1
Honolulu HI,243.9,3110.7
Houston TX,966.7,4397.5
Indianapolis IN,1288,4790.8
Irvine CA,55.8,1498.1
Jacksonville FL,648.3,3673
Jersey City NJ,521.6,1594.9
Kansas City MO,1417.3,4441.3
Laredo TX,379.3,3370.9
Las Vegas NV,920.7,2995.3
Lexington KY,332.4,3949.7
Lincoln NE,370.6,3265.9
Long Beach CA,580.7,3010
Los Angeles CA,634.8,2359.6
Louisville Metro KY,631.8,4166
Memphis TN,1740.1,5630.8
Mesa AZ,418.7,2527.4
Miami FL,1021.3,4367.4
Milwaukee WI,1596.1,4264.2
Minneapolis MN,1062.9,4193.9
Mobile AL,610.8,4311.6
Nashville TN,1101,3805.8
New Orleans LA,949.6,3874.2
New York NY,585.8,1518.7
Newark NJ,1077.7,2851.2
Oakland CA,1442.5,5856.8
Oklahoma City OK,765.6,3956.1
Omaha NE,515,3595.6
Orlando FL,940.6,6015.5
Philadelphia PA,1029,3147.4
Phoenix AZ,593.8,3491.3
Pittsburgh PA,706.2,3224.5
Plano TX,153,1799.1
Portland OR,472.8,5234.8
Raleigh NC,392.3,3063
Riverside CA,446,3259.7
Sacramento CA,737.4,3369.5
San Antonio TX,587.2,5029.5
San Diego CA,398.6,2082
San Francisco CA,776.8,6138
San Jose CA,329.6,2427.1
Santa Ana CA,482.1,2155.3
Seattle WA,598.7,5522
St. Louis MO,1817.1,6316.1
St. Paul MN,703.3,3282.1
St. Petersburg FL,741.9,5622.7
Stockton CA,1352,4263.2
Tampa FL,630.7,2295.9
Toledo OH,1128.9,4475
Tucson AZ,655.5,6642.8
Tulsa OK,903.6,5203.2
Virginia Beach VA,138.3,2205.6
Washington DC,1202.6,4516.2
Wichita KS,984.8,5041.2
Abilene TX,393.7,3664.3
Akron OH,886.6,5057.7
Alexandria VA,166.6,2049.5
Allentown PA,547.2,3857.2
Amarillo TX,650.1,4527.5
Amherst Town NY,74.8,1922.8
Ann Arbor MI,197.4,2370.3
Antioch CA,1017.1,4530.1
Arvada CO,144.9,2389.3
Athens GA,387.4,3917.2
Aurora IL,281.8,1784.6
Baton Rouge LA,1082.9,5209.1
Beaumont TX,1032.2,4840.3
Bellevue WA,127.8,2779.7
Berkeley CA,423.6,4954.7
Billings MT,347.8,4523.8
Birmingham AL,1517.8,6934.1
Boise ID,268,2524.9
Boulder CO,248.4,2929.5
Bridgeport CT,1205.2,3528.7
Broken Arrow OK,153.9,2172.1
Brownsville TX,261.2,4603.5
Burbank CA,231.3,2373
Cambridge MA,402.9,2889.3
Cape Coral FL,143.5,2205.8
Carlsbad CA,245.6,1955
Carrollton TX,144.6,2742.7
Cary NC,81.6,1353.7
Cedar Rapids IA,277.3,3678.3
Centennial CO,150.9,1383.4
Chandler AZ,258.7,2707.2
Charleston SC,239,2723.3
Chesapeake VA,368.7,2765.3
Chula Vista CA,232.6,2033.8
Clarksville TN,637,2723.6
Clearwater FL,665.4,3902.8
Columbia MO,430.2,3814.9
Columbus GA,506.7,5742.7
Concord CA,321.1,3340.1
Coral Springs FL,183.2,2255.6
Corona CA,133.5,2633.1
Costa Mesa CA,225.5,3621.4
Daly City CA,209.1,1745.2
Davenport IA,596.9,4039.8
Dayton OH,973.7,5899.2
Denton TX,310.2,2742.5
Des Moines IA,527.5,4922.9
Downey CA,335.3,3112.8
Durham NC,725.9,4363.6
Edison NJ,120.8,1466.2
El Cajon CA,358.3,2369.8
El Monte CA,342.4,1933.1
Elgin IL,235.4,1815.8
Elizabeth NJ,797.4,3445.5
Elk Grove CA,327.5,2105.6
Erie PA,449.1,3442.1
Escondido CA,426.1,2637.3
Eugene OR,272.1,5064.4
Evansville IN,473.8,5146.6
Everett WA,456.7,6092
Fairfield CA,423.9,3096.8
Fargo ND,358.8,2581.7
Fayetteville NC,575.8,6390.9
Flint MI,2729.5,5554.4
Fontana CA,423.2,2237.2
Fort Collins CO,262.8,2768.3
Fort Lauderdale FL,903.3,5830.5
Fremont CA,139.8,1945.4
Frisco TX,79.5,2051.1
